,question,answer,,,,,,,,,
0, What is Data Science? List the differences between supervised and unsupervised learning.,"Data Science is a blend of various tools, algorithms, and machine learning principles with the goal to discover hidden patterns from the raw data. How is this different from what statisticians have been doing for years?The answer lies in the difference between explaining and predicting. In supervised learning, input data is labelled, uses a training data set. It is used for making prediction and it enables classification and regression. On the other hand, in unsuspervised learning, input data is unlabelled, and it uses the input data set. It is used for analysis and enables classification, density estimation, and dimension reduction.",,,,,,,,,
1, What is Selection Bias?,"Selection bias is a kind of error that occurs when the researcher decides who is going to be studied. It is usually associated with research where the selection of participants isn?�t random. It is sometimes referred to as the selection effect. It is the distortion of statistical analysis, resulting from the method of collecting samples. If the selection bias is not taken into account, then some conclusions of the study may not be accurate. The types of selection bias include: 1.Sampling bias: It is a systematic error due to a non-random sample of a population causing some members of the population to be less likely to be included than others resulting in a biased sample.2.Time interval: A trial may be terminated early at an extreme value (often for ethical reasons), but the extreme value is likely to be reached by the variable with the largest variance, even if all variables have a similar mean. 3.Data: When specific subsets of data are chosen to support a conclusion or rejection of bad data on arbitrary grounds, instead of according to previously stated or generally agreed criteria. 4.Attrition: Attrition bias is a kind of selection bias caused by attrition (loss of participants) discounting trial subjects/tests that did not run to completion.",,,,,,,,,
2,What is a bias-variance trade-off?,"Bias: Bias is an error introduced in your model due to the oversimplification of the machine learning algorithm. It can lead to underfitting. When you train your model at that time model makes simplified assumptions to make the target function easier to understand. Low bias machine learning algorithms ??Decision Trees, k-NN and SVM High bias machine learning algorithms ??Linear Regression, Logistic Regression. Variance: Variance is error introduced in your model due to a complex machine learning algorithm, your model learns noise also from the training data set and performs badly on test data set. It can lead to high sensitivity and overfitting. Normally, as you increase the complexity of your model, you will see a reduction in error due to lower bias in the model. However, this only happens until a particular point. As you continue to make your model more complex, you end up over-fitting your model and hence your model will start suffering from high variance. Bias-Variance trade-off: The goal of any supervised machine learning algorithm is to have low bias and low variance to achieve good prediction performance. 1. The k-nearest neighbour algorithm has low bias and high variance, but the trade-off can be changed by increasing the value of k which increases the number of neighbours that contribute to the prediction and in turn increases the bias of the model. 2. The support vector machine algorithm has low bias and high variance, but the trade-off can be changed by increasing the C parameter that influences the number of violations of the margin allowed in the training data which increases the bias but decreases the variance. There is no escaping the relationship between bias and variance in machine learning. Increasing the bias will decrease the variance. Increasing the variance will decrease bias.",,,,,,,,,
3,What is a confusion matrix?,"The confusion matrix is a 2X2 table that contains 4 outputs provided by the binary classifier. Various measures, such as error-rate, accuracy, specificity, sensitivity, precision and recall are derived from it. Confusion Matrix. A data set used for performance evaluation is called a test data set. It should contain the correct labels and predicted labels. The predicted labels will exactly the same if the performance of a binary classifier is perfect. The predicted labels usually match with part of the observed labels in real-world scenarios. A binary classifier predicts all data instances of a test data set as either positive or negative. This produces four outcomes- 1.True-positive(TP) ??Correct positive prediction 2.False-positive(FP) ??Incorrect positive prediction 3.True-negative(TN) ??Correct negative prediction 4.False-negative(FN) ??Incorrect negative prediction Basic measures derived from the confusion matrix- 1.Error Rate = (FP+FN)/(P+N) 2.Accuracy = (TP+TN)/(P+N) 3.Sensitivity(Recall or True positive rate) = TP/P 4.Specificity(True negative rate) = TN/N 5.Precision(Positive predicted value) = TP/(TP+FP) 6.F-Score(Harmonic mean of precision and recall) = (1+b)(PREC.REC)/(b²PREC+REC) where b is commonly 0.5, 1, 2.",,,,,,,,,
4,What do you understand by true positive rate and false-positive rate?,"True Positive rate(TPR) is the ratio of True Positives to True Positives and False Negatives. It is the probability that an actual positive will test as positive. TPR=TP/TP+FN The False Positive Rate(FPR) is the ratio of the False Positives to all the positives(True positives and false positives). It is the probability of a false alarm, i.e., a positive result will be given when it is actually negative. FPR=FP/TP+FP",,,,,,,,,
5,Why R is used in Data Visualization?,"R is used in data visualization as it has many inbuilt functions and libraries that help in data visualizations. These libraries include ggplot2, leaflet, lattice, etc. R helps in exploratory data analysis as well as feature engineering. Using R, almost any type of graph can be created. Customizing graphics is easier in R than using python.",,,,,,,,,
6,What is the ROC curve?,"he ROC curve is a graph between False positive rate on the x axis and True positive rate on the y axis. True positive rate is the ratio of True positives to the total number of positive samples. False positive rate is the ratio of False positives to the total number of negative samples. The FPR and TPR are plotted on several threshold values to construct the ROC curve. The area under the ROC curve ranges from 0 to 1. A completely random model has an ROC of 0.5, which is represented by a straight line. The more the ROC curve deviates from this straight line, the better the model is. ROC curves are used for binary classification.",,,,,,,,,
7, What are dimensionality reduction and its benefits?,"Reducing the number of features for a given dataset is known as dimensionality reduction. There are many techniques used to reduce dimensionality such as- 1.The time and storage space is reduced. 2.It becomes easier to visualize and visually represent the data in 2D or 3D. 3.Space complexity is reduced. Feature Selection Methods Matrix Factorization Manifold Learning Autoencoder Methods Linear Discriminant Analysis (LDA) Principal component analysis (PCA) One of the main reasons for dimensionality reduction is the curse of dimensionality. When the number of features increases, the model becomes more complex. But if the number of datapoints is less, the model will start learning or overfitting the data. The model will not generalize the data. This is known as the curse of dimensionality. Other benefits of dimensionality reduction include-",,,,,,,,,
8,How to deal with unbalanced binary classification?,"While doing binary classification, if the data set is imbalanced, the accuracy of the model can?�t be predicted correctly using only the R2 score. For example, if the data belonging to one of the two classes is very less in quantity as compared to the other class, the traditional accuracy will take a very small percentage of the smaller class. If only 5% of the examples are belonging to the smaller class, and the model classifies all outputs belonging to the other class, the accuracy would still be around 95%. But this will be wrong. To deal with this, we can do the following- 1. Use other methods for calculating the model performance like precision/recall, F1 score, etc. 2. Resample the data with techniques like undersampling(reducing the sample size of the larger class), oversampling(increasing the sample size of smaller class using repetition, SMOTE, and other such techniques. 3. Using K-fold cross-validation 4. Using ensemble learning such that each decision tree considers the entire sample of the smaller class and only a subset of the larger class.",,,,,,,,,
9,What is the difference between a box plot and a histogram,Both histograms and box plots are used to visually represent the frequency of values of a certain feature. Histogram is used to know the underlying probability distribution of data. While boxplots are used more to compare several datasets. Boxplots have fewer details and take up less space than histograms.,,,,,,,,,
10,What does NLP stand for?,"NLP stands for Natural language processing. It is the study of programming computers to learn large amounts of textual data. Examples of NLP include tokenization, stop words removal, stemming, sentiment analysis, etc.",,,,,,,,,
11,"Describe different regularization methods, such as L1 and L2 regularization","There are 3 important regularization methods as follows- L2 regularization-(Ridge regression)??In L2 regularization, we add the sum of the squares of all the weights, multiplied by a value lambda, to the loss function. As you can see, if the value of the weights multiplied by the data value for a particular data point and feature becomes very large, the original loss will become small. But the added value of lambda multiplied with the sum of squares of weights will become large as well. Similarly, if the original loss value becomes very large, the added value will become small. Thus it will control the final value from becoming too large or too small. L1 Regularization-(Lasso regression)??In L1 regularization, we add the sum of the absolute values of all the weights, multiplied by a value lambda, to the loss function. The loss function along with the optimization algorithm brings parameters near to zero but not actually zero, while lasso eliminates less important features and sets respective weight values to zero. Dropout This is used for regularization in neural networks. Fully connected layers are more prone to overfitting. Dropout leaves out some neurons with 1-p probability in neural networks. Dropout reduces overfitting, improves training speed, and makes the model more robust.",,,,,,,,,
12,How should you maintain a deployed model?,"After a model has been deployed, it needs to be maintained. The data being fed may change over time. For example, in the case of a model predicting house prices, the prices of houses may rise over time or fluctuate due to some other factor. The accuracy of the model on new data can be recorded. Some common ways to ensure accuracy include- 1. The model should be frequently checked by feeding negative test data. If the model gives low accuracy with negative test data, it is fine. 2. An Auto Encoder should be built that Using anomaly detection techniques, the AE model will calculate the Reconstruction error value. If the Reconstruction error value is high, it means the new data does not follow the old pattern learned by the model. If the model shows good prediction accuracy with new data, it means that the new data follows the pattern or the generalization learned by the model on old data. So, the model can be retrained on the new data. If the accuracy on new data is not that good, the model can be retrained on the new data with feature engineering on the data features along with the old data. If the accuracy is not good, the model may need to be trained from scratch.",,,,,,,,,
13,Write the equation and calculate the precision and recall rate.,Precision quantifies the number of correct positive predictions made. Precision is calculated as the number of true positives divided by the total number of true positives and false positives. Precision = True Positives / (True Positives + False Positives) Precision is defined as the number of correct positive predictions made out of all positive predictions that could have been made. Recall is calculated as the number of true positives divided by the total number of true positives and false negatives. Recall = True Positives / (True Positives + False Negatives),,,,,,,,,
14,Why do we use the summary function?,Summary functions are used to give the summary of all the numeric values in a dataframe. Eg. The describe() function can be used to provide the summary of all the data values given to it. column_name.describe() will give the following values of all the numeric data in the column- 1. Count 2. Mean 3. Std-Standard deviation 4. Min-Minimum 5. 25% 6. 50% 7. 75% 8. max-Maximum,,,,,,,,,
15,What is the difference between an error and a residual error?,"An error refers to the difference between the predicted value and the actual value. The most popular means for calculating errors in data science are Mean Absolute Error(MAE), Mean Squared Error(MSE), and Root Mean Squared Error(RMSE). While residual is the difference between a group of values observed and their arithmetical mean. An error is generally unobservable while a residual error can be visualized on a graph. Error represents how observed data differs from the actual population. While a residual represents the way observed data differs from the sample population data.",,,,,,,,,
16,What is the difference between ?�long??and ?�wide??format data?,"In the wide-format, a subject?�s repeated responses will be in a single row, and each response is in a separate column. In the long-format, each row is a one-time point per subject. You can recognize data in wide format by the fact that columns generally represent groups.",,,,,,,,,
17,What do you understand by the term Normal Distribution?,"Data is usually distributed in different ways with a bias to the left or to the right or it can all be jumbled up. However, there are chances that data is distributed around a central value without any bias to the left or right and reaches normal distribution in the form of a bell-shaped curve. The random variables are distributed in the form of a symmetrical, bell-shaped curve. Properties of Normal Distribution are as follows; 1. Unimodal -one mode 2. Symmetrical -left and right halves are mirror images 3. Bell-shaped -maximum height (mode) at the mean 4. Mean, Mode, and Median are all located in the center 5. Asymptotic",,,,,,,,,
18,What is correlation and covariance in statistics?,"Covariance and Correlation are two mathematical concepts; these two approaches are widely used in statistics. Both Correlation and Covariance establish the relationship and also measure the dependency between two random variables. Though the work is similar between these two in mathematical terms, they are different from each other. Correlation: Correlation is considered or described as the best technique for measuring and also for estimating the quantitative relationship between two variables. Correlation measures how strongly two variables are related. Covariance: In covariance two items vary together and it?�s a measure that indicates the extent to which two random variables change in cycle. It is a statistical term; it explains the systematic relation between a pair of random variables, wherein changes in one variable reciprocal by a corresponding change in another variable.",,,,,,,,,
19,What is the difference between Point Estimates and Confidence Interval?,"Point Estimation gives us a particular value as an estimate of a population parameter. Method of Moments and Maximum Likelihood estimator methods are used to derive Point Estimators for population parameters. A confidence interval gives us a range of values which is likely to contain the population parameter. The confidence interval is generally preferred, as it tells us how likely this interval is to contain the population parameter. This likeliness or probability is called Confidence Level or Confidence coefficient and represented by 1 ??alpha, where alpha is the level of significance.",,,,,,,,,
